time_ms,cpu_usage,workers_active
6087,100.00,8
6100,100.00,8
6111,100.00,8
6123,100.00,8
6134,100.00,8
6146,100.00,8
6158,100.00,8
6169,100.00,7
6182,100.00,8
6194,100.00,8
6207,100.00,8
6218,100.00,8
6230,100.00,8
6240,100.00,8
6251,100.00,8
6261,100.00,8
6273,100.00,8
6286,100.00,8
6298,100.00,8
6309,100.00,8
6320,100.00,8
6331,100.00,8
6342,100.00,8
6353,100.00,8
6365,100.00,8
6377,100.00,8
6389,100.00,8
6401,100.00,8
6413,100.00,8
6425,100.00,8
6438,100.00,8
6448,100.00,8
6461,100.00,8
6474,100.00,8
6486,100.00,8
6498,100.00,8
6510,80.00,8
6521,80.00,8
6532,100.00,8
6545,100.00,8
6555,100.00,8
6568,100.00,8
6581,100.00,8
6593,100.00,8
6605,100.00,8
6618,100.00,8
6628,100.00,8
6641,100.00,8
6653,100.00,8
6663,100.00,8
6676,100.00,8
6688,100.00,8
6700,100.00,8
6712,100.00,8
6725,100.00,8
6736,100.00,8
6749,100.00,8
6762,100.00,8
6774,100.00,8
6785,100.00,8
6796,100.00,8
6808,100.00,8
6820,80.00,8
6832,80.00,8
6844,80.00,8
6857,80.00,8
6870,100.00,8
6882,100.00,8
6894,100.00,8
6906,100.00,8
6919,100.00,8
6932,100.00,8
6944,100.00,8
6956,100.00,8
6969,100.00,8
6980,100.00,8
6991,100.00,8
7003,100.00,8
7015,100.00,8
7027,100.00,8
7038,100.00,8
7048,100.00,8
7060,100.00,8
7071,100.00,8
7083,100.00,8
7094,100.00,8
7106,100.00,8
7119,100.00,8
7130,100.00,8
7140,100.00,8
7153,100.00,8
7165,100.00,8
7178,100.00,8
7190,100.00,8
7203,100.00,8
7215,100.00,8
7228,100.00,8
7240,100.00,8
7253,100.00,8
7265,100.00,8
7278,100.00,8
7289,100.00,8
7301,100.00,8
7313,100.00,8
7326,100.00,8
7338,100.00,8
7351,100.00,8
7361,100.00,8
7372,100.00,8
7384,100.00,8
7396,100.00,8
7409,100.00,8
7420,100.00,8
7432,100.00,8
7445,100.00,8
7456,100.00,8
7469,100.00,8
7482,100.00,8
7493,100.00,8
7506,100.00,8
7518,100.00,8
7530,100.00,8
7540,100.00,8
7553,100.00,8
7565,100.00,8
7577,100.00,8
7590,100.00,8
7601,100.00,8
7613,100.00,8
7626,100.00,8
7637,100.00,8
7649,100.00,8
7661,100.00,8
7674,100.00,8
7685,100.00,8
7698,100.00,8
7711,100.00,8
7723,100.00,8
7736,100.00,8
7748,100.00,8
7761,100.00,8
7773,100.00,8
7786,100.00,8
7798,100.00,8
7811,100.00,8
7823,100.00,8
7836,100.00,8
7848,100.00,8
7861,100.00,8
7873,100.00,8
7885,100.00,8
7898,100.00,8
7911,100.00,8
7923,100.00,8
7935,100.00,8
7948,100.00,8
7961,100.00,8
7973,100.00,8
7986,100.00,8
7998,100.00,8
8010,100.00,8
8022,100.00,8
8034,95.00,7
8044,100.00,8
8056,100.00,8
8068,100.00,8
8080,100.00,8
8093,100.00,8
8105,100.00,8
8118,100.00,8
8130,100.00,8
8143,80.00,8
8156,80.00,8
8166,100.00,8
8179,100.00,8
8191,100.00,8
8203,100.00,8
8215,100.00,8
8228,100.00,8
8240,100.00,8
8253,100.00,8
8265,100.00,8
8278,100.00,8
8290,100.00,8
8300,100.00,7
8313,100.00,8
8325,100.00,8
8338,100.00,8
8350,100.00,8
8363,100.00,8
8375,100.00,8
8388,100.00,8
8398,100.00,8
8410,100.00,8
8423,100.00,8
8436,100.00,8
8448,100.00,8
8461,100.00,8
8473,100.00,8
8486,100.00,8
8498,100.00,8
8510,100.00,8
8523,100.00,8
8535,100.00,8
